Geneid,Tumor_vs_Normal,PDX_vs_Normal
ENSG00000165474,-0.4288317277303033,-0.3122440248572431
ENSG00000121742,2.5289282975099807,2.5434529672033164
ENSG00000165475,-0.8024100112733619,-0.7296244505224401
ENSG00000032742,-0.750026982606161,-0.8203267597675001
ENSG00000238286,-0.2664579588855097,-0.3892184669697467
ENSG00000278291,-0.04543483384331659,-0.13634161707452397
ENSG00000172458,-0.0694699378272624,-0.48605796774411086
ENSG00000150456,0.02504821255704215,0.0894780410149072
ENSG00000132953,-0.358719318813959,-0.3870703156170281
ENSG00000150457,0.7753315731661212,0.874336804747859
ENSG00000233851,0.09898589172233146,0.3824929276170433
ENSG00000150459,-0.13603380794941522,-0.17147544800400105
ENSG00000165480,1.6906157114957772,1.7142575524081156
ENSG00000173141,0.30030102714696616,0.3979418037004723
ENSG00000291046,-0.05434743722214419,-0.2163663457908669
ENSG00000224429,-0.26241142190357225,-0.23355195717043387
ENSG00000180776,0.10576075653213302,0.06200474640754461
ENSG00000165487,-0.5018907911695916,-0.4797001088348214
ENSG00000230022,-0.24800185069386305,-0.46743371333040623
ENSG00000226525,0.4264636739264285,0.5949931336867138
ENSG00000102678,-1.068296321510762,-1.0718847217969965
ENSG00000232187,2.3223984463179663,2.32122985460233
ENSG00000151835,1.0260611958215815,0.9740210479112559
ENSG00000127863,0.36398295599918873,0.1635367001676329
ENSG00000027001,-0.4532026318338156,-0.39089229165089145
ENSG00000182957,-0.13504304164590852,-0.02729229161962987
ENSG00000228741,0.5438405485460243,0.3528643755622378
ENSG00000225674,0.53576913595398,0.29312409354076624
ENSG00000102699,-0.5513110873972416,-0.547198341258186
ENSG00000151849,0.4870967324888742,0.591609641313636
ENSG00000291041,-0.6590453214660319,-0.6557688333975089
ENSG00000139505,0.49696591601368123,0.4732215804220097
ENSG00000139496,1.1871788126163123,1.1353323770928148
ENSG00000132932,0.013722090423607725,0.2175395797701809
ENSG00000180730,1.127281279362442,1.0982901908490499
ENSG00000127870,-0.260757346939295,-0.08275149588934827
ENSG00000132964,0.1412667269105672,0.19178493530349883
ENSG00000132970,1.2616618673452722,1.240277470859513
ENSG00000237001,0.6893597433329883,0.42598322961783447
ENSG00000152484,-0.2122149100679671,-0.25845179885357084
ENSG00000278496,-0.23332085644020117,-0.38397433197047526
ENSG00000232162,-0.2611392347275777,-0.06427965878309916
ENSG00000275294,0.31236641042340463,0.23372138064596226
ENSG00000234772,-0.44044135284378605,-0.7143318385742714
ENSG00000122026,0.2321544136968532,0.24129862802914737
ENSG00000122035,-0.1777337395130658,-0.08751364704403386
ENSG00000122034,0.4675575576131106,0.3967104627177793
ENSG00000122033,-0.3512232007974063,-0.3949989761694521
ENSG00000139517,-0.7265537950382637,-0.6936403750059625
ENSG00000186184,0.16273037306543614,0.24482288622161263
ENSG00000139515,0.7060590829601945,1.2117326610512016
ENSG00000260704,-0.7587639651061631,-0.8719264522730554
ENSG00000165556,-0.7488903020112474,-0.8733989449423518
ENSG00000183463,-1.2573074273032048,-1.360971072687264
ENSG00000122025,-0.7333919866624341,-0.8493456776551203
ENSG00000261485,-0.3272445664311744,-0.11467038685306497
ENSG00000152520,-0.3466901493755419,-0.31069148481175723
ENSG00000232587,-0.638195818668271,-0.6906329130732325
ENSG00000200840,-0.530494065081731,-0.5221063163887828
ENSG00000102755,2.1014529037818894,2.0821998847715113
ENSG00000279393,0.5108009519137773,0.6581348398586022
ENSG00000132963,0.595038179690615,0.538911016302122
ENSG00000139508,-0.7292639439018913,-0.7322515478088247
ENSG00000233588,0.29540782549004274,0.19536679813240698
ENSG00000139514,0.24428568686287644,0.2996107824615759
ENSG00000122042,-0.9028304167319661,-0.7642989944223473
ENSG00000224511,-0.6039333455072415,-0.5895973615049747
ENSG00000102781,0.33689024538174017,0.3463585112832819
ENSG00000238121,-1.351353911927311,-1.1833295327226176
ENSG00000279149,-0.7732186485786078,-0.6369648782709517
ENSG00000189403,-0.13803389520049691,-0.18520466894155696
ENSG00000132952,-0.06106187977867883,-0.1432773144734263
ENSG00000132965,4.955488908576154,5.008442504859197
ENSG00000237879,0.6787326736039647,0.5852516844590548
ENSG00000224743,0.5093206834501085,0.6576075464176921
ENSG00000102802,1.059257610488309,1.030272195559951
ENSG00000120694,0.4931066460394353,0.44467548303283344
ENSG00000187676,0.07225679036590948,0.03095643336391607
ENSG00000229427,-0.4012251779346455,-0.31977672710525973
ENSG00000073910,0.6791754657030822,0.7057628405382665
ENSG00000279314,-0.4080883436245497,-0.23673447943208403
ENSG00000139618,0.40631951179668313,0.48023384537624736
ENSG00000139597,-1.2325487274328788,-1.2445436836940598
ENSG00000244754,-0.7279810499936641,-0.6238512315912281
ENSG00000229800,-0.04283714926827675,-0.2516692973739906
ENSG00000281026,-0.8406624166737799,-0.8425760060300158
ENSG00000083642,-0.17797462594452806,-0.13627502476237296
ENSG00000207325,0.12357086540156659,0.1587979644728149
ENSG00000277151,-0.995507338637283,-0.8257118087298507
ENSG00000133116,0.003431044374349934,-0.15022462866757458
ENSG00000133121,-0.33021290781586465,-0.34226948193464146
ENSG00000230300,-0.5665161696348987,-0.0499396284421757
